Type,Authors,Title,Year,Electronic-resource-num,Abstract,Periodical,Paper_id
ALL,"Gowda, Chandrika, Dovat, Sinisa",Genetic targets in pediatric acute lymphoblastic leukemia,2013,10.1007&#x2F;978-1-4614-6176-0_15,"Acute leukemia represents 31% of all cancers diagnosed in children and 80% of it is of Lymphoblastic type. Multiple genetic lesions in the hematopoietic progenitor cells prior to or during differentiation to B and T cell lead to development of leukemia. There are several subtypes of Acute Leukemia based on chromosome number changes, the presence of certain translocations and gene mutations, each of which has different clinical, biological and prognostic features. High throughput genomic technologies like array-based comparative genomic hybridization (array-CGH) and single nucleotide polymorphism microarrays (SNP arrays), have given us insight through a very detailed look at the genetic changes of leukemia, specifically, ALL. Here, we discuss various genetic mutations identified in Acute Lymphoblastic Leukemia. We also explore various genetic targets and currently available as well as upcoming targeted therapies for ALL. © Springer Science+Business Media New York 2013.",Advances in Experimental Medicine and Biology,11
ALL,"Yuan, Na, Song, Lin, Zhang, Suping, Lin, Weiwei, Cao, Yan, Xu, Fei, Fang, Yixuan, Wang, Zhen, Zhang, Han, Li, Xin, Wang, Zhijian, Cai, Jinyang, Wang, Jian, Zhang, Yi, Mao, Xinliang, Zhao, Wenli, Hu, Shaoyan, Chen, Suning, Wang, Jianrong",Bafilomycin A1 targets both autophagy and apoptosis pathways in pediatric B-cell acute lymphoblastic leukemia,2015,10.3324&#x2F;haematol.2014.113324,"B-cell acute lymphoblastic leukemia is the most common type of pediatric leukemia. Despite improved remissionrates, current treatment regimens for pediatric B-cell acute lymphoblastic leukemia are often associated withadverse effects and central nervous system relapse, necessitating more effective and safer agents. Bafilomycin A1is an inhibitor of vacuolar H+-ATPase that is frequently used at high concentration to block late-phase autophagy.Here, we show that bafilomycin A1 at a low concentration (1 nM) effectively and specifically inhibited and killedpediatric B-cell acute lymphoblastic leukemia cells. It targeted both early and late stages of the autophagy pathwayby activating mammalian target of rapamycin signaling and by disassociating the Beclin 1-Vps34 complex, as wellas by inhibiting the formation of autolysosomes, all of which attenuated functional autophagy. Bafilomycin A1also targeted mitochondria and induced caspase-independent apoptosis by inducing the translocation of apoptosis-inducing factor from mitochondria to the nucleus. Moreover, bafilomycin A1 induced the binding of Beclin 1to Bcl-2, which further inhibited autophagy and promoted apoptotic cell death. In primary cells from pediatricpatients with B-cell acute lymphoblastic leukemia and a xenograft model, bafilomycin A1 specifically targetedleukemia cells while sparing normal cells. An in vivo mouse toxicity assay confirmed that bafilomycin A1 is safe.Our data thus suggest that bafilomycin A1 is a promising candidate drug for the treatment of pediatric B-cell acutelymphoblastic leukemia.",Haematologica,12
ALL,"Anwar, Shamama, Alam, Afrin",A convolutional neural network–based learning approach to acute lymphoblastic leukaemia detection with automated feature extraction,2020,10.1007&#x2F;s11517-020-02282-x,"Leukaemia is a type of blood cancer which mainly occurs when bone marrow produces excess white blood cells in our body. This disease not only affects adult but also is a common cancer type among children. Treatment of leukaemia depends on its type and how far the disease has spread in the body. Leukaemia is classified into two types depending on how rapidly it grows: acute and chronic leukaemia. The early diagnosis of this disease is vital for effective treatment and recovery. This paper presents an automated diagnostic system to detect acute lymphoblastic leukaemia (ALL) using a convolutional neural network (CNN) model. The model uses labeled microscopic blood smear images to detect the malignant leukaemia cells. The current work uses data obtained from the Acute Lymphoblastic Leukaemia Image DataBase (ALL_IDB) and performs various data augmentation techniques to increase the number of training data which in effect reduces the over-training problem. The model has been trained on 515 images using a fivefold validation technique achieving an accuracy of 95.54% and further tested on the remaining 221 images achieving almost 100% accuracy during most of the trials, maintaining an average of 99.5% accuracy. The method does not need any pre-processing or segmentation technique and works efficiently on raw data. This method can, hence, prove profitable for pathologist in diagnosing ALL efficiently. [Figure not available: see fulltext.].",Medical and Biological Engineering and Computing,13
ALL,"Das, Biplab Kanti, Dutta, Himadri Sekhar",GFNB: Gini index–based Fuzzy Naive Bayes and blast cell segmentation for leukemia detection using multi-cell blood smear images,2020,10.1007&#x2F;s11517-020-02249-y,"The blood cell counting and classification ensures the evaluation and diagnosis of a number of diseases. The analysis of white blood cells (WBCs) permits us to detect the acute lymphoblastic leukemia (ALL), a type of blood cancer that causes fatality when untreated. At present, the morphological analysis of blood cells is performed manually by skilled operators, which holds numerous drawbacks. The manual techniques for leukemia detection are time-consuming and show less accurate results. Hence, there is a need for an automatic method for detecting leukemia. In order to overcome the demerits associated with the manual methods of counting and classifying, an automatic method of blast cell counting and leukemia classification is progressed. This paper proposes a leukemia detection method, using the Gini index–based Fuzzy Naive Bayes (GFNB) classifier that is the integration of Gini index and Fuzzy Naive Bayes classifier. Initially, the input multi-cell blood smear image is subjected to pre-processing, and the blast cell is segmented using the adaptive thresholding. Then, the blast cells are counted using the proposed classifier so as to decide the presence of leukemia for the effective diagnosis. Experimental analysis using the ALL-IDB1 database confirms that the proposed method operates better than the existing methods in terms of accuracy, specificity, and sensitivity that are found to be 0.9591, 0.9599, and 1, respectively. The experimental results reveal that the proposed method is reliable and accurate. Also, the proposed system can help the physicians to improve and speed up their process. Graphical abstract[Figure not available: see fulltext.]",Medical and Biological Engineering and Computing,14
ALL,"Mahmood, Nasir, Shahid, Saman, Bakhshi, Taimur, Riaz, Sehar, Ghufran, Hafiz, Yaqoob, Muhammad",Identification of significant risks in pediatric acute lymphoblastic leukemia (ALL) through machine learning (ML) approach,2020,10.1007&#x2F;s11517-020-02245-2,"Pediatric acute lymphoblastic leukemia (ALL) through machine learning (ML) technique was analyzed to determine the significance of clinical and phenotypic variables as well as environmental conditions that can identify the underlying causes of child ALL. Fifty pediatric patients (n &#x3D; 50) included who were diagnosed with acute lymphoblastic leukemia (ALL) according to the inclusion and exclusion criteria. Clinical variables comprised of the blood biochemistry (CBC, LFTs, RFTs) results, and distribution of type of ALL, i.e., T ALL or B ALL. Phenotypic data included the age, sex of the child, and consanguinity, while environmental factors included the habitat, socioeconomic status, and access to filtered drinking water. Fifteen different features&#x2F;attributes were collected for each case individually. To retrieve most useful discriminating attributes, four different supervised ML algorithms were used including classification and regression trees (CART), random forest (RM), gradient boosted machine (GM), and C5.0 decision tree algorithm. To determine the accuracy of the derived CART algorithm on future data, a ten-fold cross validation was performed on the present data set. The ALL was common in children of age below 5 years in male patients whole belonged to middle class family of rural areas. (B-ALL) was most frequent as compared with T-ALL. The consanguinity was present in 54% of cases. Low levels of platelets and hemoglobin and high levels of white blood cells were reported in child ALL patients. CART provided the best and complete fit for the entire data set yielding a 99.83% model fit accuracy, and a misclassification of 0.17% on the entire sample space, while C5.0 reported 98.6%, random forest 94.44%, and gradient boosted machine resulted in 95.61% fitting. The variable importance of each primary discriminating attribute is platelet 43%, hemoglobin 24%, white blood cells 4%, and sex of the child 4%. An overall accuracy of 87.4% was recorded for the classifier. Platelet count abnormality can be considered as a major factor in predicting pediatric ALL. The machine learning algorithms can be applied efficiently to provide details for the prognosis for better treatment outcome. [Figure not available: see fulltext.]",Medical and Biological Engineering and Computing,15
ALL,"McCormick, Meghan C., Sharp, Eleanor, Kalpatthi, Ramasubramanian, Zullo, James, Gurtunca, Nursen, Zhang, Jun, Krafty, Robert, Raman, Sripriya",Hyperglycemia requiring insulin during acute lymphoblastic leukemia induction chemotherapy is associated with increased adverse outcomes and healthcare costs,2020,10.1002&#x2F;pbc.28475,"Background: Hyperglycemia is a complication of induction chemotherapy in 10%-50% of pediatric patients with acute lymphoblastic leukemia (ALL). Though hyperglycemia in ALL patients is usually transient, it may be associated with adverse health outcomes. However, the risk factors for and consequences of hyperglycemia are poorly understood. We hypothesized that hyperglycemia significant enough to require insulin therapy during induction chemotherapy would be associated with increased morbidity and mortality in pediatric ALL patients during induction chemotherapy and in subsequent care. Methods: We abstracted clinical and resource utilization data from the Pediatric Health Information System (PHIS) database utilizing ICD-9 codes and medication charges. We used logistic regression analysis to predict the development of hyperglycemia. The effects of hyperglycemia on binary and count adverse outcomes following induction chemotherapy were modeled using mixed-effect regression models. Results: An increased risk of hyperglycemia requiring insulin was associated with older age, female sex, higher risk group and trisomy 21. Patients on insulin for hyperglycemia had increased mortality following induction chemotherapy. These patients were more likely to have subsequent infectious complications, need for bone marrow transplant, and risk of disease relapse. They also had greater length of inpatient stay, higher cost of care, and were more likely to require intensive care unit admission during induction chemotherapy. Conclusions: Hyperglycemia requiring insulin during induction chemotherapy in pediatric ALL is associated with an increased risk of short-term and long-term complications. Prospective studies are needed to analyze formal screening, preventive measures, and optimal management practices for hyperglycemia during ALL induction chemotherapy.",Pediatric Blood and Cancer,16
ALL,"Bonaventure, Audrey, Simpson, Jill, Ansell, Pat, Roman, Eve",Paediatric acute lymphoblastic leukaemia and caesarean section: A report from the United Kingdom Childhood Cancer Study (UKCCS),2020,10.1111&#x2F;ppe.12662,"Background: Reports have suggested that children born by caesarean initiated before labour onset may be at increased risk of developing acute lymphoblastic leukaemia (ALL). However, with most data being derived from case-control study interviews, information on the underpinning reasons for caesarean section is sparse, and evidence is conflicting. Objectives: Use clinical records compiled at the time of delivery to investigate the association between childhood ALL and caesarean delivery; examining timing in relation to labour onset, and reasons for the procedure. Methods: Data are from the UK Childhood Cancer Study, a population-based case-control study conducted in the 1990s, when caesarean section rates were relatively low, in England, Scotland, and Wales. Children with ALL were individually matched to two controls on sex, date of birth, and region of residence. Information on mode of delivery and complications was abstracted from obstetric records. Odds ratios (OR) and 95% confidence intervals (CI) were calculated using logistic regression models adjusted for matching variables and relevant covariates. Results: Around 75% of the 1034 cases and 1914 controls were born through unassisted vaginal delivery. Caesarean delivery was as frequent in cases and controls (OR 1.07, 95% CI 0.84, 1.36). No association was observed between ALL and caesarean delivery either during or before labour, with adjusted ORs of 1.08 (95% CI 0.78, 1.48) and 1.09 (95% CI 0.78, 1.53), respectively. For B-cell ALL, the ORs were 1.14 (95% CI 0.81, 1.59) for caesarean during labour and 1.21 (95% CI 0.85, 1.72) for prelabour. The underpinning reasons for caesarean delivery differed between cases and controls; with preeclampsia, although very rare, being more common amongst cases born by caesarean (OR 8.91, 95% CI 1.48, 53.42). Conclusions: Our obstetric record-based study found no significant evidence that caesarean delivery increased the risk of childhood ALL, either overall or when carried out before labour.",Paediatric and Perinatal Epidemiology,17
ALL,"Jacola, Lisa M., Anghelescu, Doralina L.,  Hall, Lacey, Russell, Kathryn, Zhang, Hui, Wang, Fang, Peters, Joanna B., Rossi, Michael, Schreiber, Jane E., Gajjar, Amar",Anesthesia Exposure during Therapy Predicts Neurocognitive Outcomes in Survivors of Childhood Medulloblastoma,2020,10.1016&#x2F;j.jpeds.2020.04.039,"Objective: To examine the contribution of anesthesia exposure during treatment for childhood medulloblastoma to neurocognitive outcomes 3 years after tumor diagnosis. Study design: In this retrospective study, anesthesia data were abstracted from medical records for 111 patients treated with risk-adapted protocol therapy at St Jude Children&#39;s Research Hospital. Neurocognitive testing data were obtained for 90.9% of patients. Results: For the 101 patients (62.4% male) who completed testing, mean age at diagnosis was 10.1 years, and 74.3% were staged to have average-risk disease. Anesthesia exposure during treatment ranged from 1 to 52 events (mean &#x3D; 19.9); mean cumulative duration per patient was 21.1 hours (range 0.7–59.7). Compared with normative expectations (16%), the group had a significantly greater frequency of at-risk scores (&lt;1 SD) on measures of intelligence (28.7%), attention (35.2%), working memory (26.6%), processing speed (46.7%), and reading (25.8%). Including anesthesia exposure duration to linear regression models accounting for age at diagnosis, treatment intensity, and baseline IQ significantly increased the predicted variance for intelligence (r2 &#x3D; 0.59), attention (r2 &#x3D; 0.29), working memory (r2 &#x3D; 0.31), processing speed (r2 &#x3D; 0.44), and reading (r2 &#x3D; 0.25; all P values &lt;.001). Conclusions: In survivors of childhood medulloblastoma, a neurodevelopmentally vulnerable population, greater exposure to anesthesia significantly and independently predicts deficits in neurocognitive and academic functioning. When feasible, anesthesia exposure during treatment should be reduced.",Journal of Pediatrics,18
ALL,"Medinger, Michael, Heim, Dominik, Lengerke, Claudia, Halter, Jörg P., Passweg, Jakob R.",Acute lymphoblastic leukemia – Diagnosis and therapy,2019,10.1024&#x2F;0040-5930&#x2F;a001127,"Acute lymphoblastic leukemia (ALL) is a rare malignant hematological disease. The incidence of the disease peaks in the childhood and thus is rare in adults, making assessment and care at qualified centers highly desirable. Clinically, ALL presents with the proliferation and accumulation of malignant, immature lymphatic blasts in the bone marrow, peripheral blood, and lymphatic and non-lymphatic tissue. Untreated, ALL results in death within few months. ALL is a heterogeneously disease. Prognosis is determined by immunophenotype, cytogenetics and molecular markers which influences therapeutic strategies. The aim of therapy in younger patients is curative. Patients should be treated in international study group protocols. Overall survival has improved over the last decade; also with the introduction of new targeted therapies. In addition, there have been recent developments in minimal &#x2F; measurable residual disease (MRD) determination, which has a strong impact on the decision for an allogeneic hematopoietic stem cell transplantation.",Therapeutische Umschau,19
ALL,"Li, Zeng Zheng, Wang, Ya Jie, Feng, Jia Kun, Tan, Jia Bin, Zhao, Ren Bing, Yang, Tong Hua",Research Progress on Pathogenic Genes of Ph-like Acute Lymphoblastic Leukemia--Review,2020,10.19746&#x2F;j.cnki.issn.1009-2137.2020.02.057,"Philadelphia chromosome-like acute lymphoblastic leukemia (Ph-like ALL or BCR-ABL1-like ALL) is a kind of acute leukemia which has the similar gene expression profiles and manifests the biological behavior same to Ph-positive ALL, but lacks the BCR-ABL1 fusion gene. Ph-like ALL was involved in multiple abnormal changes of genomes, activating kinase and cytokine receptor signaling. This review focuses on the progress of classical genetic abnormalities of PH-like ALL in the JAK-STAT signaling, ABL kinase activation, TKI resistance in Ph-like ALL, SH2B3 gene inactivating mutation and IKZF1 gene abnormality. Besides, also summarizes the frontier progress of novel gene mutation (ATF7IP exon 9 fused with PDGFRB exon 11, PDGFRBC843G mutation caused by fusion of exon 11-23 of PDGFRB with exon 1-6 of AGGF1 gene) in recent years.",Zhongguo shi yan xue ye xue za zhi,20
ALL,"Eche, Ijeoma Julie, Aronowitz, Teri",A Literature Review of Racial Disparities in Overall Survival of Black Children With Acute Lymphoblastic Leukemia Compared With White Children With Acute Lymphoblastic Leukemia,2020,10.1177&#x2F;1043454220907547,"Despite major advances in acute lymphoblastic leukemia [ALL] treatment, poorer overall survival (OS) persists for Black children with ALL compared with White children with ALL. The purpose of this literature review was to examine the racial disparities on OS in Black versus White children with ALL. The Cumulative Index to Nursing and Allied Health Literature (CINAHL), Medline, PubMed, and Academic Search Complete databases were searched using the Medical Subject Heading (MeSH) terms: survival or mortality or outcome AND black or African-American or AA or minority AND racial disparities or race or racial&#x2F;ethnic disparities AND cancer in children or pediatric cancer or children with leukemia or children with ALL for articles published in English between January 2009 and July 2019. Exclusion criteria were non-research articles, systematic reviews, conference abstracts, editorials, commentaries, correspondence, and case reports. Using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines, data were extracted, appraised, and synthesized. Sixteen articles met the inclusion criteria. Sample sizes across studies ranged from 184 to 31,866 participants. The factors most associated with disparities in OS included: age at diagnosis (e.g., &lt;1 year and&#x2F;or &gt;10 years old), differences in clinical prognosticators (e.g., white blood cell count at diagnosis, T-cell vs. precursor B-cell immunophenotype, central nervous system disease status, cytogenetic profile) and lower socioeconomic status. Future prospective studies are needed to elucidate the role of these factors in OS of Black children with ALL.",Journal of Pediatric Oncology Nursing,21
ALL,"Jha, Krishna Kumar, Dutta, Himadri Sekhar",Nucleus and cytoplasm–based segmentation and actor-critic neural network for acute lymphocytic leukaemia detection in single cell blood smear images,2020,10.1007&#x2F;s11517-019-02071-1,"Acute lymphoblastic leukaemia (ALL), which is due to the malfunctioning in the bone marrow, is common among people all over the world. The haematologist suffers a lot to discriminate the presence of leukaemia in the patients using the blood smears. To overcome the inaccuracy and reliability issues, this paper proposes an automatic method of leukaemia detection, named chronological Sine Cosine Algorithm–based actor-critic neural network (Chrono-SCA-ACNN). Initially, the blood smear images are segmented using the proposed entropy-based hybrid model, from which the image-level features and statistical features are extracted from the segments. Then, the selected features are applied to the proposed classifier, which detects the leukaemia. In the proposed Chrono-SCA-ACNN, the optimal weights are selected by the proposed Chrono-SCA, which is the integration of the chronological concept in the SCA. Finally, the experimentation is performed using the ALL-IDB2 database, and the effectiveness of the proposed method over the existing methods is evaluated. From the analysis, the accuracy of the proposed method is found to be 0.99, which proves that it outperforms the existing classification methodologies. [Figure not available: see fulltext.].",Medical and Biological Engineering and Computing,22
